n.node_id,n.longitude,n.latitude,elementid(n)
3022507426,20.6078933,-103.3650164,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12141
1427496428,20.6078941,-103.3693065,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5745
1454530746,20.6079005,-103.3798832,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6745
1450810277,20.6079103,-103.3734448,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6421
7161382604,20.6079163,-103.3608863,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13619
1430324132,20.6079226,-103.4254824,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5801
1450812327,20.6079253,-103.3683908,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6502
1455443765,20.6079257,-103.3972089,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6901
4760132257,20.6079281,-103.3596405,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12542
1427496556,20.6079322,-103.3674181,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5748
7721524818,20.6079424,-103.3971517,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13925
4760132264,20.607949,-103.3592284,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12545
1452636093,20.607951,-103.3828152,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6596
2869717413,20.6079543,-103.4055786,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11896
6336358058,20.6079585,-103.3684491,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12849
4760132256,20.6079615,-103.3600553,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12541
6532300885,20.6079739,-103.3654751,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13202
1407752849,20.6079845,-103.3852219,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5589
2869717415,20.607987,-103.4050078,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11897
1800778140,20.6079938,-103.433742,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10318
1427496634,20.6080015,-103.3656334,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5774
1450810358,20.6080021,-103.3701958,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6449
1432255102,20.6080056,-103.3936267,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5847
1439693444,20.6080072,-103.3927757,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6123
5994336436,20.6080096,-103.3605419,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12732
1453347296,20.6080097,-103.3780317,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6639
1450810365,20.6080116,-103.3725688,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6451
1454530752,20.6080148,-103.380352,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6746
2869717416,20.6080169,-103.4065971,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11898
1439693371,20.6080247,-103.3929097,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6115
5994342483,20.6080271,-103.3607434,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12733
1660846692,20.6080439,-103.4302421,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8936
7161404899,20.6080476,-103.360877,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13622
